Order ID,Order Date,Product Name,Category,Region,Sales,Profit,Quantity
ORD-42154,2022-01-14,Canon DSLR Camera,Technology,Central,5186.15,1011.66,7
ORD-85757,2022-01-15,Pen Set,Office Supplies,Central,106.27,21.17,5
ORD-33516,2022-01-15,Sony Headphones,Technology,East,191.35,35.21,1
ORD-46671,2022-01-17,Binder Clips Box,Office Supplies,South,36.32,6.55,6
ORD-66928,2022-01-17,Apple MacBook Pro,Technology,South,7376.91,938.83,7
ORD-49252,2022-01-18,Pen Set,Office Supplies,West,188.03,57.32,9
ORD-18906,2022-01-18,Binder Clips Box,Office Supplies,West,51.46,16.5,6
ORD-18729,2022-01-18,Pen Set,Office Supplies,South,16.9,5.38,1
ORD-89995,2022-01-18,HP LaserJet Printer,Technology,East,3677.63,531.79,9
ORD-39329,2022-01-18,Sony Headphones,Technology,West,549.11,113.25,3
ORD-30750,2022-01-19,Filing Cabinet,Furniture,Central,809.39,75.31,5
ORD-77213,2022-01-19,HP LaserJet Printer,Technology,West,3020.49,501.91,10
ORD-25036,2022-01-19,Pen Set,Office Supplies,Central,170.07,46.14,9
ORD-39769,2022-01-21,Canon DSLR Camera,Technology,West,1615.57,200.19,2
ORD-69429,2022-01-22,Highlighter Pack,Office Supplies,Central,51.76,14.56,4
ORD-28184,2022-01-22,Stapler Set,Office Supplies,East,69.14,-4.51,4
ORD-71457,2022-01-22,Glass Coffee Table,Furniture,Central,640.76,86.97,2
ORD-32521,2022-01-23,Herman Miller Chair,Furniture,South,6329.59,742.23,9
ORD-93084,2022-01-24,Herman Miller Chair,Furniture,West,8152.33,1350.67,10
ORD-44761,2022-01-24,Dell XPS 15,Technology,South,7450.32,1404.68,8
ORD-71866,2022-01-25,Wooden Bookshelf,Furniture,Central,1665.26,225.44,7
ORD-42053,2022-01-26,Pen Set,Office Supplies,East,22.7,6.64,1
ORD-26293,2022-01-26,Filing Cabinet,Furniture,South,1842.65,187.4,10
ORD-63296,2022-01-26,Leather Sofa,Furniture,West,2543.95,433.06,2
ORD-11231,2022-01-28,Dell XPS 15,Technology,South,2421.74,341.8,3
ORD-56219,2022-01-28,Whiteboard Markers,Office Supplies,Central,63.19,19.79,5
ORD-99710,2022-01-28,HP LaserJet Printer,Technology,South,2214.45,333.9,9
ORD-32509,2022-01-28,Apple MacBook Pro,Technology,Central,2297.63,473.26,2
ORD-99517,2022-01-28,Wooden Bookshelf,Furniture,East,459.41,70.57,2
ORD-90777,2022-01-29,Glass Coffee Table,Furniture,East,2506.34,418.69,7
ORD-82384,2022-01-29,Highlighter Pack,Office Supplies,West,46.76,13.13,3
ORD-66113,2022-01-30,Sony Headphones,Technology,Central,784.46,212.87,5
ORD-22224,2022-01-31,Glass Coffee Table,Furniture,East,363.34,37.63,1
ORD-91650,2022-02-01,HP LaserJet Printer,Technology,South,595.05,82.34,2
ORD-28873,2022-02-02,A4 Paper Ream,Office Supplies,West,10.02,-0.7,1
ORD-34670,2022-02-02,Apple MacBook Pro,Technology,West,2708.0,549.99,2
ORD-10866,2022-02-02,Herman Miller Chair,Furniture,Central,7110.2,971.93,8
ORD-24933,2022-02-03,Glass Coffee Table,Furniture,East,3299.32,613.78,9
ORD-44018,2022-02-05,Binder Clips Box,Office Supplies,Central,14.47,3.18,2
ORD-84352,2022-02-05,Sony Headphones,Technology,East,196.28,38.25,1
ORD-90801,2022-02-06,IKEA Standing Desk,Furniture,West,2966.75,370.53,7
ORD-94366,2022-02-06,IKEA Standing Desk,Furniture,East,1901.72,166.74,5
ORD-89761,2022-02-06,Highlighter Pack,Office Supplies,South,87.24,-6.75,8
ORD-14141,2022-02-06,Glass Coffee Table,Furniture,South,2398.97,330.79,9
ORD-57526,2022-02-07,Binder Clips Box,Office Supplies,East,62.06,12.37,7
ORD-45279,2022-02-08,Herman Miller Chair,Furniture,Central,3671.67,510.38,4
ORD-75234,2022-02-08,Dell XPS 15,Technology,South,7451.32,1182.52,8
ORD-70260,2022-02-08,Filing Cabinet,Furniture,East,1338.51,183.96,7
ORD-85456,2022-02-10,Canon DSLR Camera,Technology,Central,4333.06,534.43,7
ORD-80571,2022-02-10,Herman Miller Chair,Furniture,South,2412.78,292.26,3
ORD-99417,2022-02-11,Samsung Galaxy Tab,Technology,Central,4234.28,618.1,9
ORD-91439,2022-02-11,Apple MacBook Pro,Technology,West,5504.98,746.02,4
ORD-37292,2022-02-12,Canon DSLR Camera,Technology,Central,1135.28,177.0,2
ORD-52568,2022-02-12,Wooden Bookshelf,Furniture,East,2104.23,236.7,7
ORD-59514,2022-02-13,Highlighter Pack,Office Supplies,South,87.44,29.9,8
ORD-75392,2022-02-13,Sony Headphones,Technology,Central,291.29,74.78,2
ORD-50653,2022-02-13,Sony Headphones,Technology,West,849.05,196.62,5
ORD-87292,2022-02-14,Canon DSLR Camera,Technology,West,2917.95,546.07,4
ORD-15210,2022-02-14,Canon DSLR Camera,Technology,Central,6102.55,1034.45,9
ORD-34223,2022-02-14,Sticky Notes Pack,Office Supplies,East,78.25,-5.03,7
ORD-51486,2022-02-15,Herman Miller Chair,Furniture,Central,8349.97,1230.13,10
ORD-54967,2022-02-16,Samsung Galaxy Tab,Technology,East,1109.26,150.04,2
ORD-84393,2022-02-17,Highlighter Pack,Office Supplies,Central,126.85,22.93,9
ORD-13655,2022-02-17,Samsung Galaxy Tab,Technology,South,1111.39,198.9,3
ORD-87664,2022-02-19,Binder Clips Box,Office Supplies,East,7.32,2.04,1
ORD-73263,2022-02-21,Dell XPS 15,Technology,Central,8396.61,1095.31,9
ORD-27275,2022-02-22,Whiteboard Markers,Office Supplies,West,28.39,9.96,2
ORD-23924,2022-02-22,Herman Miller Chair,Furniture,South,1840.13,327.64,3
ORD-58436,2022-02-22,Highlighter Pack,Office Supplies,West,17.59,4.66,1
ORD-57303,2022-02-23,HP LaserJet Printer,Technology,West,2377.8,304.02,8
ORD-89788,2022-02-23,Whiteboard Markers,Office Supplies,East,135.75,29.05,9
ORD-89822,2022-02-23,Glass Coffee Table,Furniture,West,1887.0,309.51,7
ORD-57089,2022-02-23,Pen Set,Office Supplies,West,205.87,67.29,10
ORD-65170,2022-02-24,Leather Sofa,Furniture,East,10634.28,2283.17,9
ORD-21003,2022-02-25,Stapler Set,Office Supplies,Central,131.69,49.97,10
ORD-60667,2022-02-26,Samsung Galaxy Tab,Technology,East,3019.22,396.11,5
ORD-16828,2022-02-26,Glass Coffee Table,Furniture,South,2001.21,297.76,8
ORD-42189,2022-02-26,Dell XPS 15,Technology,West,4309.09,894.86,4
ORD-56095,2022-02-27,Logitech Wireless Mouse,Technology,South,351.74,117.92,10
ORD-20646,2022-02-28,Pen Set,Office Supplies,South,196.53,-18.55,10
ORD-43868,2022-03-01,Stapler Set,Office Supplies,West,56.35,15.66,3
ORD-21898,2022-03-01,Canon DSLR Camera,Technology,West,4703.38,521.81,6
ORD-92578,2022-03-01,Filing Cabinet,Furniture,Central,311.58,39.76,2
ORD-73577,2022-03-01,Apple MacBook Pro,Technology,West,3784.62,871.15,3
ORD-32815,2022-03-02,Dell XPS 15,Technology,Central,5047.99,1136.6,6
ORD-82737,2022-03-02,Whiteboard Markers,Office Supplies,East,82.37,26.39,5
ORD-93115,2022-03-02,Glass Coffee Table,Furniture,Central,1502.93,205.01,6
ORD-80248,2022-03-02,Binder Clips Box,Office Supplies,South,10.93,2.66,2
ORD-22280,2022-03-03,Binder Clips Box,Office Supplies,East,89.85,24.62,10
ORD-31012,2022-03-05,Leather Sofa,Furniture,South,8531.63,1183.88,10
ORD-40833,2022-03-05,Pen Set,Office Supplies,South,40.39,8.28,2
ORD-38905,2022-03-05,Highlighter Pack,Office Supplies,Central,117.09,36.73,8
ORD-25362,2022-03-06,Samsung Galaxy Tab,Technology,East,1416.98,220.61,3
ORD-57013,2022-03-08,Highlighter Pack,Office Supplies,South,47.94,15.03,4
ORD-89310,2022-03-08,Whiteboard Markers,Office Supplies,South,75.43,20.05,7
ORD-54308,2022-03-08,Stapler Set,Office Supplies,Central,69.44,21.91,5
ORD-75860,2022-03-08,Highlighter Pack,Office Supplies,Central,97.53,25.4,8
ORD-33865,2022-03-08,Apple MacBook Pro,Technology,Central,13168.85,2218.64,10
ORD-96122,2022-03-08,Whiteboard Markers,Office Supplies,West,98.73,26.57,7
ORD-54937,2022-03-09,A4 Paper Ream,Office Supplies,Central,26.52,6.64,3
ORD-33508,2022-03-09,Dell XPS 15,Technology,South,7691.23,1240.67,9
ORD-59465,2022-03-10,Sticky Notes Pack,Office Supplies,East,27.19,9.59,2
ORD-77024,2022-03-11,Highlighter Pack,Office Supplies,East,133.72,42.14,8
ORD-45918,2022-03-11,Filing Cabinet,Furniture,South,1175.98,153.8,7
ORD-47287,2022-03-12,Leather Sofa,Furniture,Central,1084.94,218.29,1
ORD-97235,2022-03-13,Wooden Bookshelf,Furniture,West,1071.29,133.36,4
ORD-86418,2022-03-14,Leather Sofa,Furniture,Central,6815.98,836.65,7
ORD-58393,2022-03-15,Dell XPS 15,Technology,East,3731.57,503.37,3
ORD-96530,2022-03-17,SanDisk SSD 1TB,Technology,East,740.74,143.97,7
ORD-59177,2022-03-18,A4 Paper Ream,Office Supplies,East,62.79,11.3,6
ORD-85534,2022-03-18,Binder Clips Box,Office Supplies,East,91.23,20.57,10
ORD-11214,2022-03-18,Leather Sofa,Furniture,West,5727.57,1130.86,5
ORD-48026,2022-03-18,Highlighter Pack,Office Supplies,Central,118.97,28.33,8
ORD-85008,2022-03-22,Pen Set,Office Supplies,West,59.98,10.88,3
ORD-50492,2022-03-22,Highlighter Pack,Office Supplies,West,34.87,9.42,2
ORD-73609,2022-03-22,Filing Cabinet,Furniture,West,858.66,121.29,5
ORD-80756,2022-03-23,Canon DSLR Camera,Technology,West,733.95,113.63,1
ORD-71689,2022-03-24,Apple MacBook Pro,Technology,Central,1303.84,271.36,1
ORD-32962,2022-03-24,Canon DSLR Camera,Technology,East,3754.43,454.96,5
ORD-38183,2022-03-24,Dell XPS 15,Technology,West,5095.81,1088.6,5
ORD-28274,2022-03-24,Sticky Notes Pack,Office Supplies,South,20.05,5.67,2
ORD-20780,2022-03-25,A4 Paper Ream,Office Supplies,Central,41.95,8.53,6
ORD-22761,2022-03-26,Filing Cabinet,Furniture,South,1327.38,139.22,9
ORD-70981,2022-03-26,Leather Sofa,Furniture,South,3957.08,520.04,4
ORD-51365,2022-03-27,IKEA Standing Desk,Furniture,East,1808.59,200.95,4
ORD-22693,2022-03-27,Samsung Galaxy Tab,Technology,East,4614.48,967.2,10
ORD-86162,2022-03-28,SanDisk SSD 1TB,Technology,West,103.18,16.73,1
ORD-65492,2022-03-29,Canon DSLR Camera,Technology,West,2045.83,367.32,3
ORD-18683,2022-03-30,Sony Headphones,Technology,East,929.13,170.32,5
ORD-96363,2022-03-30,Stapler Set,Office Supplies,Central,130.51,26.39,9
ORD-26762,2022-03-30,SanDisk SSD 1TB,Technology,East,491.04,66.67,4
ORD-27324,2022-03-31,Herman Miller Chair,Furniture,East,894.03,96.74,1
ORD-93318,2022-03-31,Pen Set,Office Supplies,East,169.02,53.92,7
ORD-32398,2022-03-31,Highlighter Pack,Office Supplies,West,112.21,33.88,7
ORD-17928,2022-04-01,IKEA Standing Desk,Furniture,West,1302.68,109.75,3
ORD-39418,2022-04-01,SanDisk SSD 1TB,Technology,Central,634.87,114.69,8
ORD-41077,2022-04-02,Pen Set,Office Supplies,West,39.51,8.25,2
ORD-83890,2022-04-02,Canon DSLR Camera,Technology,South,1288.33,231.12,2
ORD-40603,2022-04-02,Highlighter Pack,Office Supplies,Central,133.84,-8.92,10
ORD-23476,2022-04-02,Samsung Galaxy Tab,Technology,East,489.44,56.23,1
ORD-26803,2022-04-03,Whiteboard Markers,Office Supplies,South,62.3,-5.98,6
ORD-83731,2022-04-04,Logitech Wireless Mouse,Technology,South,233.51,76.96,7
ORD-19514,2022-04-04,Apple MacBook Pro,Technology,East,15990.37,2352.88,10
ORD-31516,2022-04-04,Glass Coffee Table,Furniture,South,522.59,82.22,2
ORD-10702,2022-04-04,IKEA Standing Desk,Furniture,Central,1911.3,145.38,6
ORD-53750,2022-04-04,Canon DSLR Camera,Technology,Central,4817.02,535.29,7
ORD-87736,2022-04-04,HP LaserJet Printer,Technology,South,1151.07,217.58,4
ORD-49085,2022-04-04,Pen Set,Office Supplies,South,47.32,-3.45,3
ORD-62550,2022-04-05,Stapler Set,Office Supplies,West,73.42,22.45,4
ORD-93000,2022-04-06,Logitech Wireless Mouse,Technology,East,265.75,56.38,7
ORD-15230,2022-04-06,Leather Sofa,Furniture,Central,9073.1,1651.19,8
ORD-24371,2022-04-07,HP LaserJet Printer,Technology,Central,683.81,123.66,2
ORD-61554,2022-04-07,Herman Miller Chair,Furniture,South,5883.14,605.2,8
ORD-12376,2022-04-07,IKEA Standing Desk,Furniture,West,3821.25,344.13,9
ORD-62219,2022-04-08,Pen Set,Office Supplies,South,129.97,39.54,8
ORD-95948,2022-04-08,Canon DSLR Camera,Technology,South,3127.1,351.42,6
ORD-42077,2022-04-10,Apple MacBook Pro,Technology,Central,10320.72,2025.3,10
ORD-81847,2022-04-11,Herman Miller Chair,Furniture,Central,6959.96,951.13,10
ORD-98338,2022-04-12,Whiteboard Markers,Office Supplies,East,15.75,6.13,1
ORD-32018,2022-04-14,Herman Miller Chair,Furniture,East,7036.0,751.3,8
ORD-22097,2022-04-15,Glass Coffee Table,Furniture,Central,1311.7,146.88,5
ORD-47700,2022-04-16,SanDisk SSD 1TB,Technology,South,541.64,80.67,7
ORD-88838,2022-04-16,Dell XPS 15,Technology,Central,3721.61,570.12,4
ORD-85740,2022-04-16,Sticky Notes Pack,Office Supplies,West,102.69,33.24,10
ORD-43092,2022-04-16,Leather Sofa,Furniture,South,3282.86,471.63,3
ORD-31068,2022-04-17,SanDisk SSD 1TB,Technology,South,669.53,108.2,9
ORD-25380,2022-04-18,Logitech Wireless Mouse,Technology,Central,105.68,19.36,3
ORD-10110,2022-04-19,Samsung Galaxy Tab,Technology,East,2786.67,315.87,6
ORD-61964,2022-04-20,Wooden Bookshelf,Furniture,East,1602.05,244.42,7
ORD-40128,2022-04-22,Highlighter Pack,Office Supplies,Central,14.81,2.88,1
ORD-21096,2022-04-22,Stapler Set,Office Supplies,Central,141.56,49.58,9
ORD-39218,2022-04-22,A4 Paper Ream,Office Supplies,Central,53.77,11.47,6
ORD-57294,2022-04-22,Glass Coffee Table,Furniture,Central,715.61,88.81,3
ORD-18305,2022-04-22,Glass Coffee Table,Furniture,Central,1495.2,188.12,5
ORD-81939,2022-04-22,Highlighter Pack,Office Supplies,South,48.8,-4.14,4
ORD-11007,2022-04-23,Whiteboard Markers,Office Supplies,East,56.29,21.46,4
ORD-95626,2022-04-23,Whiteboard Markers,Office Supplies,West,13.66,3.25,1
ORD-26274,2022-04-24,Binder Clips Box,Office Supplies,West,19.91,6.14,3
ORD-74272,2022-04-25,Leather Sofa,Furniture,Central,4770.12,698.58,5
ORD-38758,2022-04-25,A4 Paper Ream,Office Supplies,South,56.86,16.01,9
ORD-28061,2022-04-25,Sticky Notes Pack,Office Supplies,West,49.12,11.72,4
ORD-36201,2022-04-26,Stapler Set,Office Supplies,East,116.02,-7.47,7
ORD-81557,2022-04-27,Canon DSLR Camera,Technology,South,3759.03,672.03,7
ORD-42088,2022-04-27,Filing Cabinet,Furniture,East,2014.39,194.09,10
ORD-58331,2022-04-27,Leather Sofa,Furniture,Central,1127.82,233.91,1
ORD-92045,2022-04-28,Glass Coffee Table,Furniture,South,1649.44,241.44,6
ORD-19835,2022-04-28,Logitech Wireless Mouse,Technology,Central,156.47,51.68,5
ORD-83242,2022-04-29,IKEA Standing Desk,Furniture,Central,3007.99,309.95,8
ORD-85965,2022-04-30,Leather Sofa,Furniture,West,8799.87,1347.06,7
ORD-16830,2022-05-01,Pen Set,Office Supplies,South,36.79,-3.88,2
ORD-78674,2022-05-01,Sony Headphones,Technology,West,1463.1,228.03,9
ORD-28256,2022-05-02,Wooden Bookshelf,Furniture,West,1390.67,207.49,6
ORD-94207,2022-05-03,Binder Clips Box,Office Supplies,East,45.13,-4.19,5
ORD-56598,2022-05-03,Herman Miller Chair,Furniture,South,644.84,61.6,1
ORD-31747,2022-05-03,Samsung Galaxy Tab,Technology,West,993.37,159.1,2
ORD-46779,2022-05-03,IKEA Standing Desk,Furniture,East,3921.89,441.82,10
ORD-43847,2022-05-04,SanDisk SSD 1TB,Technology,Central,584.65,153.14,6
ORD-62163,2022-05-04,Stapler Set,Office Supplies,East,101.22,20.93,5
ORD-51104,2022-05-05,Samsung Galaxy Tab,Technology,West,466.93,66.0,1
ORD-21866,2022-05-06,Highlighter Pack,Office Supplies,Central,77.99,16.67,6
ORD-67923,2022-05-07,Filing Cabinet,Furniture,East,652.17,107.46,3
ORD-29808,2022-05-07,Wooden Bookshelf,Furniture,West,1378.07,151.3,5
ORD-67014,2022-05-08,SanDisk SSD 1TB,Technology,East,1014.0,166.78,10
ORD-45107,2022-05-11,Glass Coffee Table,Furniture,South,2437.18,309.65,9
ORD-72021,2022-05-11,SanDisk SSD 1TB,Technology,East,191.88,46.72,2
ORD-60432,2022-05-11,HP LaserJet Printer,Technology,Central,2824.15,310.0,10
ORD-62328,2022-05-12,Apple MacBook Pro,Technology,West,11365.46,1979.29,8
ORD-54846,2022-05-12,SanDisk SSD 1TB,Technology,East,556.05,120.38,5
ORD-48630,2022-05-13,Binder Clips Box,Office Supplies,West,43.66,14.11,5
ORD-31945,2022-05-13,Sticky Notes Pack,Office Supplies,West,21.58,6.14,2
ORD-26702,2022-05-14,Pen Set,Office Supplies,West,43.28,9.42,2
ORD-53213,2022-05-15,Wooden Bookshelf,Furniture,East,1623.75,143.18,6
ORD-56118,2022-05-16,HP LaserJet Printer,Technology,South,2353.56,244.64,9
ORD-50654,2022-05-16,HP LaserJet Printer,Technology,South,2141.9,315.76,7
ORD-42858,2022-05-18,Filing Cabinet,Furniture,East,952.54,131.6,5
ORD-38647,2022-05-18,Samsung Galaxy Tab,Technology,South,397.43,52.35,1
ORD-74315,2022-05-18,Canon DSLR Camera,Technology,East,4777.81,640.97,7
ORD-40932,2022-05-18,Sony Headphones,Technology,East,533.38,147.86,3
ORD-83499,2022-05-18,Stapler Set,Office Supplies,South,75.95,29.02,6
ORD-60157,2022-05-19,Sony Headphones,Technology,East,925.51,193.94,5
ORD-15856,2022-05-19,Sticky Notes Pack,Office Supplies,East,25.97,8.29,2
ORD-98501,2022-05-20,Dell XPS 15,Technology,West,2332.78,390.43,2
ORD-75291,2022-05-20,A4 Paper Ream,Office Supplies,East,19.64,3.08,2
ORD-95426,2022-05-21,Pen Set,Office Supplies,East,160.72,51.49,6
ORD-33908,2022-05-21,Binder Clips Box,Office Supplies,South,38.56,9.27,7
ORD-79822,2022-05-22,Dell XPS 15,Technology,East,10404.78,2099.73,8
ORD-71589,2022-05-23,Pen Set,Office Supplies,East,158.07,36.58,6
ORD-16006,2022-05-23,Highlighter Pack,Office Supplies,South,118.6,31.0,10
ORD-60579,2022-05-23,Pen Set,Office Supplies,Central,18.35,5.49,1
ORD-35362,2022-05-23,Binder Clips Box,Office Supplies,West,17.6,4.25,2
ORD-49405,2022-05-24,Whiteboard Markers,Office Supplies,East,41.75,13.98,3
ORD-60446,2022-05-25,Logitech Wireless Mouse,Technology,Central,40.01,7.62,1
ORD-85361,2022-05-25,HP LaserJet Printer,Technology,South,2212.65,370.27,9
ORD-63580,2022-05-26,Whiteboard Markers,Office Supplies,Central,87.33,24.77,8
ORD-92719,2022-05-26,Pen Set,Office Supplies,West,212.65,48.66,10
ORD-79243,2022-05-26,Canon DSLR Camera,Technology,Central,7365.92,848.09,10
ORD-49599,2022-05-26,SanDisk SSD 1TB,Technology,East,692.31,138.14,6
ORD-50812,2022-05-26,Samsung Galaxy Tab,Technology,West,1344.43,195.35,3
ORD-54657,2022-05-28,Apple MacBook Pro,Technology,South,6817.28,1336.17,7
ORD-11220,2022-05-29,Samsung Galaxy Tab,Technology,Central,2718.41,413.94,6
ORD-69692,2022-05-30,Canon DSLR Camera,Technology,Central,5988.39,1146.38,10
ORD-17852,2022-05-30,SanDisk SSD 1TB,Technology,South,670.99,122.47,8
ORD-12187,2022-05-30,Wooden Bookshelf,Furniture,West,1750.48,224.56,8
ORD-46344,2022-06-01,Binder Clips Box,Office Supplies,South,34.54,8.17,5
ORD-52875,2022-06-02,Logitech Wireless Mouse,Technology,East,145.35,35.53,4
ORD-74828,2022-06-03,Highlighter Pack,Office Supplies,West,60.83,14.09,4
ORD-85228,2022-06-03,A4 Paper Ream,Office Supplies,West,17.55,4.33,2
ORD-12441,2022-06-04,Canon DSLR Camera,Technology,South,1274.53,202.67,2
ORD-28449,2022-06-04,Highlighter Pack,Office Supplies,South,28.69,9.37,2
ORD-57067,2022-06-05,Sony Headphones,Technology,West,752.5,112.85,5
ORD-37563,2022-06-06,SanDisk SSD 1TB,Technology,East,771.75,167.11,8
ORD-15910,2022-06-06,Wooden Bookshelf,Furniture,East,2306.77,244.47,9
ORD-25278,2022-06-06,Pen Set,Office Supplies,East,148.54,35.97,7
ORD-23791,2022-06-06,Glass Coffee Table,Furniture,East,1892.96,312.94,6
ORD-41462,2022-06-07,Wooden Bookshelf,Furniture,East,477.19,66.14,2
ORD-20011,2022-06-07,SanDisk SSD 1TB,Technology,Central,161.71,35.71,2
ORD-77353,2022-06-07,Whiteboard Markers,Office Supplies,East,65.93,13.67,5
ORD-24334,2022-06-07,SanDisk SSD 1TB,Technology,West,435.09,72.04,5
ORD-65680,2022-06-10,IKEA Standing Desk,Furniture,West,1076.94,102.99,3
ORD-59947,2022-06-10,Wooden Bookshelf,Furniture,Central,1985.55,200.57,8
ORD-98580,2022-06-10,IKEA Standing Desk,Furniture,East,783.09,57.96,2
ORD-61873,2022-06-11,SanDisk SSD 1TB,Technology,Central,742.83,194.45,9
ORD-77017,2022-06-11,Pen Set,Office Supplies,West,124.01,-13.2,5
ORD-70174,2022-06-11,Binder Clips Box,Office Supplies,Central,56.17,10.02,7
ORD-84946,2022-06-11,Highlighter Pack,Office Supplies,West,14.06,4.36,1
ORD-17854,2022-06-12,SanDisk SSD 1TB,Technology,West,1005.65,187.26,10
ORD-72601,2022-06-12,Binder Clips Box,Office Supplies,East,45.71,13.38,5
ORD-48420,2022-06-13,Filing Cabinet,Furniture,East,608.59,55.39,3
ORD-37600,2022-06-13,HP LaserJet Printer,Technology,West,1446.62,253.92,5
ORD-77965,2022-06-14,Dell XPS 15,Technology,Central,5878.54,938.02,7
ORD-99486,2022-06-14,Leather Sofa,Furniture,Central,7995.01,1164.28,7
ORD-28136,2022-06-15,Wooden Bookshelf,Furniture,South,1859.61,178.68,9
ORD-95686,2022-06-15,A4 Paper Ream,Office Supplies,West,44.49,12.81,5
ORD-46780,2022-06-17,Leather Sofa,Furniture,East,4325.72,831.62,3
ORD-58738,2022-06-18,Herman Miller Chair,Furniture,South,3846.44,517.71,5
ORD-93956,2022-06-18,Whiteboard Markers,Office Supplies,Central,88.97,23.09,7
ORD-24526,2022-06-18,IKEA Standing Desk,Furniture,South,2122.16,250.61,6
ORD-28844,2022-06-19,Filing Cabinet,Furniture,East,944.81,116.88,5
ORD-75517,2022-06-19,Herman Miller Chair,Furniture,East,3085.2,403.23,3
ORD-66223,2022-06-19,Wooden Bookshelf,Furniture,South,1723.12,150.72,8
ORD-56269,2022-06-19,Dell XPS 15,Technology,South,4595.97,601.93,5
ORD-26591,2022-06-20,Logitech Wireless Mouse,Technology,West,157.43,45.0,4
ORD-23622,2022-06-20,Stapler Set,Office Supplies,East,136.66,46.7,7
ORD-47128,2022-06-21,Samsung Galaxy Tab,Technology,Central,1627.98,264.85,4
ORD-18585,2022-06-23,A4 Paper Ream,Office Supplies,West,34.47,5.91,4
ORD-35221,2022-06-24,Binder Clips Box,Office Supplies,South,61.35,15.96,9
ORD-38389,2022-06-25,Glass Coffee Table,Furniture,East,1550.72,288.16,5
ORD-51035,2022-06-25,Sony Headphones,Technology,Central,910.56,163.49,6
ORD-65897,2022-06-26,Dell XPS 15,Technology,Central,814.39,169.59,1
ORD-49498,2022-06-28,Pen Set,Office Supplies,East,73.79,16.64,3
ORD-50063,2022-06-28,Leather Sofa,Furniture,West,5433.56,992.06,5
ORD-75393,2022-06-28,HP LaserJet Printer,Technology,South,2651.92,454.83,9
ORD-53684,2022-06-28,Samsung Galaxy Tab,Technology,East,6207.32,1279.94,10
ORD-19600,2022-06-29,Filing Cabinet,Furniture,South,152.67,21.69,1
ORD-26395,2022-06-29,Highlighter Pack,Office Supplies,South,88.28,21.93,7
ORD-83727,2022-06-29,HP LaserJet Printer,Technology,West,930.91,139.88,3
ORD-99381,2022-06-29,Sony Headphones,Technology,West,1477.13,304.81,8
ORD-42142,2022-07-01,Glass Coffee Table,Furniture,East,3122.46,406.33,9
ORD-57555,2022-07-02,SanDisk SSD 1TB,Technology,East,610.64,155.82,6
ORD-34633,2022-07-02,Sticky Notes Pack,Office Supplies,South,47.61,10.46,5
ORD-23425,2022-07-02,A4 Paper Ream,Office Supplies,Central,15.33,2.51,2
ORD-19323,2022-07-02,Samsung Galaxy Tab,Technology,South,2397.02,428.21,6
ORD-24474,2022-07-02,Sticky Notes Pack,Office Supplies,South,36.51,-3.58,4
ORD-70774,2022-07-03,Filing Cabinet,Furniture,West,1289.89,147.1,7
ORD-23824,2022-07-03,Pen Set,Office Supplies,West,85.33,28.26,4
ORD-41205,2022-07-04,Dell XPS 15,Technology,South,7377.42,1537.88,8
